Name;Producer;Grape;Classification;Alcohol;Year;Aging;Price
Ricasoli 1141 Chianti Classico Guicciarda Riserva 2018;Ricasoli 1141;Blend Red;DOCG Chianti Classico Riserva;13.50;2018;Aged in wood;14.95
San Filippo Brunello di Montalcino 2016;San Filippo;Sangiovese Grosso;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;52.64
Tenuta L'Impostino Montecucco Rosso Impostino Riserva 2014;Tenuta L'Impostino;Blend Red;DOC Montecucco Rosso Riserva;14.50;2014;No oak/wood;12.90
La Badiola Acquagiusta Rosso 2019;Tenuta la Badiola;Blend Red;DOC Maremma Toscana Rosso;13.50;2019;No oak/wood;11.00
Il Marroneto Brunello di Montalcino 2016;Il Marroneto;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;95.00
Colombaio di Cencio Chianti Classico Gran Selezione 2015;Colombaio di Cencio;Sangiovese;DOCG Chianti Classico Gran Selezione;14.00;2015;Aged in wood;25.62
Caccia al Piano Grottaia Rosso 2019;Caccia al Piano 1868 (Berlucchi);Blend Red;IGT Toscano o Toscana;13.50;2019;No oak/wood;10.49
Fontodi Flaccianello della Pieve 2017;Fontodi;Sangiovese;IGT Colli della Toscana centrale;15.00;2017;Aged in barrique;125.00
Enzo Tiezzi Brunello di Montalcino Poggio Cerrino 2016;Tiezzi;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;31.77
Banfi Excelsus 2016;Banfi;Blend Red;IGT Toscano o Toscana;14.50;2016;Aged in barrique;45.80
Pian delle Vigne Brunello di Montalcino 2016;Pian delle Vigne (Antinori);Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;48.50
Guado al Melo Bolgheri Antillo 2019;Guado al Melo;Blend Red;DOC Bolgheri Rosso;13.50;2019;Aged in wood;14.01
Buondonno Rosso 2018;Buondonno;Blend Red;IGT Toscano o Toscana;13.00;2018;No oak/wood;12.51
Fattoria della Aiola Chianti Classico 2017;Fattoria della Aiola;Blend Red;DOCG Chianti Classico;13.50;2017;Aged in big casks;11.00
Ca' Marcanda Bolgheri Rosso 2017;Ca' Marcanda (Gaja);Blend Red;DOC Bolgheri Rosso;14.50;2017;Aged in barrique;128.50
Tenuta di Trinoro Campo di Tenaglia 2018;Tenuta di Trinoro;Cabernet Franc;IGT Toscano o Toscana;16.00;2018;Aged in barrique;72.50
Carpineta Fontalpino Chianti Classico Fontalpino 2018;Carpineta Fontalpino;Sangiovese;DOCG Chianti Classico;14.00;2018;Aged in wood;17.69
Il Palagione San Gimignano Merlot 2015;Il Palagione;Merlot;DOC San Gimignano Merlot;13.50;2015;Aged in wood;22.46
Poggio al Tesoro W Dedicato a Walter 2016;Poggio al Tesoro;Cabernet Franc;DOC Bolgheri Rosso Superiore;15.00;2016;Aged in barrique;130.00
Castelgiocondo Lamaione 2016;Castelgiocondo (Frescobaldi);Merlot;IGT Toscano o Toscana;14.50;2016;Aged in barrique;50.00
Piancornello Brunello di Montalcino 2016;Piancornello;Sangiovese;DOCG Brunello di Montalcino;15.00;2016;Aged in wood;35.67
La Massa Carla 6 2017;La Massa;Sangiovese;IGT Toscano o Toscana;14.50;2017;Aged in wood;76.41
Petra Hebo 2019;Petra;Blend Red;IGT Toscano o Toscana;14.00;2019;Aged in barrique;12.00
Col D'Orcia Sant'Antimo Olmaia 2015;Col d'Orcia;Cabernet Sauvignon;DOC Sant'Antimo Cabernet Sauvignon;14.50;2015;Aged in barrique;34.99
Tenuta L'Impostino Montecucco Rosso Ciarlone 2016;Tenuta L'Impostino;Blend Red;DOC Montecucco Rosso;13.50;2016;No oak/wood;9.60
"Fontodi Pinot Nero Bio ""Case Via"" 2017";Fontodi;Pinot Nero;IGT Colli della Toscana centrale;14.00;2017;Aged in barrique;39.72
Trerose Nobile di Montepulciano Simposio Riserva 2015;Trerose;Sangiovese;DOCG Vino Nobile di Montepulciano Riserva;14.50;2015;Aged in barrique;26.58
Bertinga Toscana Rosso Sassi Chiusi 2016;Bertinga;Blend Red;IGT Toscano o Toscana;14.00;2016;Aged in barrique;20.00
Tenuta L'Impostino Sangiovese Montecucco Viandante Riserva 2015;Tenuta L'Impostino;Sangiovese;DOCG Montecucco Sangiovese Riserva;14.50;2015;Aged in barrique;18.97
Vallepicciola Quercegrosse Merlot 2018;Vallepicciola;Merlot;IGT Toscano o Toscana;14.50;2018;Aged in barrique;27.50
Grillesino Maremma Toscana Niccolaio 2018;Grillesino;Cabernet Sauvignon;DOC Maremma Toscana Cabernet Sauvignon;14.00;2018;Aged in wood;19.52
Piazzano Colorino 2016;Fattoria di Piazzano;Colorino;IGT Toscano o Toscana;15.00;2016;Aged in barrique;20.74
Giodo La Quinta 2018;Giodo;Sangiovese;IGT Toscano o Toscana;13.50;2018;Aged in big casks;39.89
Tenuta Sette Ponti Chianti Vigna Pallino 2018;Tenuta Sette Ponti;Sangiovese;DOCG Chianti;13.50;2018;Aged in barrique;9.50
Pertimali Sassetti Rosso di Montalcino 2018;Sassetti Livio Pertimali;Sangiovese Grosso;DOC Rosso di Montalcino;14.50;2018;No oak/wood;16.19
Villa S.Andrea Chianti Classico Riserva 2015;Villa S. Andrea;Blend Red;DOCG Chianti Classico Riserva;14.00;2015;Aged in barrique;14.51
Capanna Brunello di Montalcino Riserva 2015;Capanna;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2015;Aged in wood;92.44
La Spinetta Il Gentile di Casanova 2016;La Spinetta;Prugnolo Gentile;IGT Toscano o Toscana;14.00;2016;Aged in wood;18.67
Avignonesi 50 & 50 Capannelle 2012;Avignonesi;Blend Red;IGT Toscano o Toscana;13.50;2012;Aged in barrique;94.00
Lamole di Lamole Chianti Gran Selezione Vigneto di Campolungo 2016;Lamole di Lamole;Blend Red;DOCG Chianti Classico Gran Selezione;14.50;2016;Aged in wood;35.00
Tenuta Corte Pavone Brunello di Montalcino Fior di Meliloto 2015;Loacker Wine Estates;Sangiovese;DOCG Brunello di Montalcino;15.50;2015;Aged in wood;58.82
Salicutti Podere Brunello di Montalcino Piaggione 2015;Salicutti;Sangiovese;DOCG Brunello di Montalcino;15.00;2015;Aged in barrique;102.79
Tenuta di Collosorbo Brunello di Montalcino 2015;Collosorbo;Sangiovese;DOCG Brunello di Montalcino;14.50;2015;Aged in wood;40.97
Silvio Nardi Brunello di Montalcino Poggio Doria 2015;Tenute Silvio Nardi;Sangiovese;DOCG Brunello di Montalcino;14.00;2015;Aged in wood;60.84
Le Ripi Toscana Rosso Cielo d'Ulisse 2014;Podere Le Ripi;Sangiovese;IGT Toscano o Toscana;13.50;2014;Aged in wood;26.68
Tenuta di Sesta Camponovo Rosso 2019;Tenuta di Sesta;Blend Red;IGT Toscano o Toscana;14.50;2019;No oak/wood;8.38
Silvio Nardi Brunello di Montalcino Manachiara 2015;Tenute Silvio Nardi;Sangiovese;DOCG Brunello di Montalcino;15.00;2015;Aged in big casks;79.30
Tenuta di Trinoro Campo di Magnacosta 2018;Tenuta di Trinoro;Cabernet Franc;IGT Toscano o Toscana;15.50;2018;Aged in barrique;72.50
Tenuta Argentiera Bolgheri Rosso Superiore 2018;Tenuta Argentiera;Blend Red;DOC Bolgheri Rosso Superiore;14.50;2018;Aged in barrique;64.00
Vecchie Terre di Montefili Anfiteatro 2016;Vecchie Terre di Montefili;Sangiovese;IGT Toscano o Toscana;13.50;2016;Aged in wood;79.30
San Polo Brunello di Montalcino 2015;San Polo Azienda Agricola;Sangiovese;DOCG Brunello di Montalcino;14.50;2015;Aged in barrique;47.99
Podere Sette Bolgheri Rosso L'Invidio 2019;Podere Sette;Blend Red;DOC Bolgheri Rosso;14.50;2019;Aged in barrique;17.25
Castello Banfi Belnero 2016;Banfi;Blend Red;IGT Toscano o Toscana;14.00;2016;Aged in barrique;15.25
Badia di Morrona Taneto Toscana Rosso 2018;Badia di Morrona;Blend Red;IGT Toscano o Toscana;14.50;2018;Aged in wood;11.60
Tua Rita Merlot Redigaffi 2018;Tua Rita;Merlot;IGT Toscano o Toscana;14.50;2018;Aged in barrique;231.80
Poggio al Tesoro Bolgheri Mediterra 2019;Poggio al Tesoro;Blend Red;IGT Toscano o Toscana;14.00;2019;Aged in barrique;13.90
Torri del Falco Morellino di Scansano 2018;Loacker Wine Estates;Blend Red;DOCG Morellino di Scansano;13.50;2018;No oak/wood;11.37
Buondonno Chianti Classico Riserva 2017;Buondonno;Sangiovese;DOCG Chianti Classico Riserva;14.50;2017;Aged in wood;26.00
Poggio di Sotto Rosso di Montalcino 2018;Poggio di Sotto;Sangiovese;DOC Rosso di Montalcino;14.00;2018;Aged in wood;53.38
Castello di Ama Merlot l'Apparita 2017;Castello di Ama;Merlot;IGT Toscano o Toscana;13.50;2017;Aged in barrique;195.00
San Polo Brunello di Montalcino 2016;  San Polo Azienda Agricola;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;47.99
Antinori Solaia 2017;Antinori;Blend Red;IGT Toscano o Toscana;14.00;2017;Aged in barrique;320.01
Tenuta Corte Pavone Brunello di Montalcino Campo Marzio 2015;Loacker Wine Estates;Sangiovese;DOCG Brunello di Montalcino;15.50;2015;Aged in wood;64.64
La Gerla Brunello di Montalcino Camponovo 2016;La Gerla;Sangiovese Grosso;DOCG Brunello di Montalcino;15.00;2016;Aged in wood;30.81
Madonna Nera Brunello di Montalcino 2015;Madonna Nera;Sangiovese;DOCG Brunello di Montalcino;14.50;2015;Aged in wood;34.16
Bertinga Chianti Classico La Porta di Vertine 2018;Bertinga;Sangiovese;DOCG Chianti Classico;14.00;2018;No oak/wood;20.00
San Polo Governo 2017;San Polo Azienda Agricola;Blend Red;IGT Toscano o Toscana;13.50;2017;Aged in barrique;10.89
Castello Romitorio Il RomiToro 2019;Castello Romitorio;Blend Red;IGT Toscano o Toscana;14.00;2019;Aged in wood;19.00
Banfi Cum Laude 2017;Banfi;Blend Red;IGT Toscano o Toscana;14.50;2017;Aged in barrique;14.90
Borgo Salcetino Rossole 2015;Borgo Salcetino (Livon);Blend Red;IGT Toscano o Toscana;13.00;2015;Aged in barrique;13.16
Riecine 2014;Riecine;Sangiovese;IGT Toscano o Toscana;13.00;2014;Aged in barrique;51.00
Franco Pacenti Brunello di Montalcino 2016;Pacenti Franco;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in barrique;40.94
Fattoria Ambra Carmignano Montalbiolo Riserva 2017;Fattoria Ambra;Blend Red;DOCG Carmignano Riserva;14.50;2017;Aged in wood;21.96
Tenuta di Arceno Chianti Classico Riserva 2018;Tenuta di Arceno;Blend Red;DOCG Chianti Classico Riserva;14.50;2018;Aged in wood;18.00
Casanova di Neri Rosso di Montalcino 2019;Casanova di Neri;Sangiovese;DOC Rosso di Montalcino;14.50;2019;Aged in wood;22.50
Banfi Brunello di Montalcino Poggio All'Oro Riserva 2013;Banfi;Sangiovese;DOCG Brunello di Montalcino Riserva;14.00;2013;Aged in barrique;130.00
Terenzuola La Merla della Miniera 2018;Terenzuola;Blend Red;IGT Toscano o Toscana;14.00;2018;No oak/wood;16.59
Casa di Terra Bolgheri Mosaico 2018;Casa di Terra;Merlot;DOC Bolgheri Rosso;14.50;2018;Aged in barrique;22.27
Bertinga Merlot Volta di Bertinga 2016;Bertinga;Merlot;IGT Toscano o Toscana;14.00;2016;Aged in barrique;99.99
Capannelle Chianti Classico Gran Selezione 2015;Capannelle;Sangiovese;DOCG Chianti Classico Gran Selezione;13.50;2015;Aged in wood;40.26
Leonardo da Vinci Vitruviano Brunello di Montalcino 2016;Cantine Leonardo da Vinci;Sangiovese;DOCG Brunello di Montalcino;13.50;2016;Aged in wood;32.00
Monteraponi Baron' Ugo 2016;Monteraponi;Blend Red;IGT Toscano o Toscana;13.50;2016;Aged in wood;58.50
Cecchi Coevo 2010;Cecchi;Blend Red;IGT Toscano o Toscana;13.50;2010;Aged in barrique;57.34
Castello Monsanto Fabrizio Bianchi Sangioveto Grosso 2016;Castello Monsanto;Sangiovese;IGT Toscano o Toscana;14.50;2016;Aged in wood;49.73
Rocca di Frassinello Maremma Toscana Rosso 2016;Rocca di Frassinello;Blend Red;DOC Maremma Toscana Rosso;14.50;2016;Aged in barrique;42.00
Tenuta Sette Ponti Vigna dell'Impero 2015;Tenuta Sette Ponti;Sangiovese;DOC Valdarno di Sopra Sangiovese;14.50;2015;Aged in barrique;75.01
Mastrojanni Ciliegiolo 2018;Mastrojanni;Ciliegiolo;IGT Toscano o Toscana;15.00;2018;Aged in wood;38.00
Ornellaia Bolgheri Superiore 2018;Ornellaia;Blend Red;DOC Bolgheri Rosso Superiore;14.50;2018;Aged in barrique;195.00
Fontodi Chianti Classico Gran Selezione Vigna del Sorbo Bio 2017;Fontodi;Sangiovese;DOCG Chianti Classico Gran Selezione;15.00;2017;Aged in barrique;62.22
Tenuta Corte Pavone Brunello di Montalcino Fiore del Vento 2015;Loacker Wine Estates;Sangiovese;DOCG Brunello di Montalcino;15.50;2015;Aged in wood;64.64
Vecchie Terre di Montefili Bruno di Rocca 2011;Vecchie Terre di Montefili;Cabernet Sauvignon;IGT Colli della Toscana centrale;13.50;2011;Aged in barrique;48.80
Folonari B.S.T. Sangiovese e Cabernet Sauvignon 2019;Tenute Folonari;Blend Red;IGT Toscano o Toscana;14.50;2019;No oak/wood;9.89
Antinori Vignaferrovia Brunello di Montalcino Riserva 2013;Pian delle Vigne (Antinori);Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2013;Aged in wood;95.00
Belguardo Morellino di Scansano Bronzone Riserva 2018;Belguardo;Sangiovese;DOCG Morellino di Scansano Riserva;13.50;2018;Aged in wood;13.80
La Spinetta Colorino di Casanova 2017;La Spinetta;Colorino;IGT Toscano o Toscana;14.00;2017;Aged in wood;18.23
Le Macioche Brunello di Montalcino 2016;Le Macioche;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in big casks;64.84
Vecchie Terre di Montefili Chianti Classico Gran Selezione 2016;Vecchie Terre di Montefili;Sangiovese;DOCG Chianti Classico Gran Selezione;13.00;2016;Aged in barrique;36.60
Donatella Cinelli Colombini Brunello di Montalcino 2015;Donatella Cinelli Colombini;Sangiovese;DOCG Brunello di Montalcino;14.00;2015;Aged in wood;39.26
