Name;Producer;Grape;Classification;Alcohol;Year;Aging;Price
Tenuta di Valgiano Colline Lucchesi Rosso Palistorti 2018;Valgiano;Blend Red;DOC Colline Lucchesi Rosso;13.50;2018;Aged in wood;25.00
Salcheto Nobile di Montepulciano Riserva 2015;Salcheto;Blend Red;DOCG Vino Nobile di Montepulciano Riserva;13.50;2015;Aged in wood;21.41
Poggio Bonelli Chianti Classico Riserva 2017;Poggio Bonelli;Sangiovese;DOCG Chianti Classico Riserva;14.50;2017;Aged in barrique;20.00
Castello di Romitorio Brunello di Montalcino Filo di Seta 2015;Castello Romitorio;Sangiovese;DOCG Brunello di Montalcino;14.00;2015;Aged in barrique;90.00
Castello dei Rampolla Vigna d'Alceo 2016;Castello dei Rampolla;Blend Red;IGT Toscano o Toscana;14.50;2016;Aged in barrique;107.60
Tenuta di Trinoro Tenuta di Trinoro 2018;Tenuta di Trinoro;Blend Red;IGT Toscano o Toscana;15.50;2018;Aged in barrique;229.99
Tenuta di Trinoro Campo di Tenaglia 2017;Tenuta di Trinoro;Cabernet Franc;IGT Toscano o Toscana;15.50;2017;Aged in barrique;74.51
Valdifalco Syrah Lodolaia 2018;Loacker Wine Estates;Syrah;DOC Maremma Toscana Syrah;14.00;2018;Aged in wood;21.17
Amerighi Cortona Syrah 2015;Stefano Amerighi;Syrah;DOC Cortona Syrah;13.50;2015;Aged in wood;26.00
Castello Albola Chianti Classico Riserva 2018;Castello di Albola;Blend Red;DOCG Chianti Classico;13.00;2018;Aged in barrique;17.60
Cesani Luenzo 2012;Cesani;Blend Red;IGT Toscano o Toscana;14.00;2012;Aged in barrique;19.40
Fanti Sant'Antimo Rosso Sassomagno 2018;Fanti;Blend Red;DOC Sant'Antimo Rosso;13.50;2018;Aged in barrique;7.67
Guado al Melo Bolgheri Superiore Atis 2020;Guado al Melo;Blend Red;DOC Bolgheri Rosso Superiore;14.50;2020;Aged in wood;37.00
Gualandi Chianti Montebetti 2019;Gualandi;Blend Red;DOCG Chianti Colli Fiorentini;13.50;2019;Aged in wood;8.78
La Leccia Chianti Leccino 2015;La Leccia;Sangiovese;DOCG Chianti Superiore;14.00;2015;Aged in wood;10.98
La Leccia Sette Dormienti Rosso 2013;La Leccia;Blend Red;IGT Toscano o Toscana;14.00;2013;Aged in barrique;12.81
La Leccia Vinea Domini Sangiovese 2016;La Leccia;Sangiovese;IGT Toscano o Toscana;13.50;2016;No oak/wood;6.71
Piaggia Il Sasso Carmignano 2016;Piaggia;Blend Red;DOCG Carmignano;14.50;2016;Aged in barrique;20.50
Piaggia Il Sasso Carmignano 2018;Piaggia;Blend Red;DOCG Carmignano;14.50;2018;Aged in wood;19.86
Rocca di Castagnoli Chianti Classico SanSano 2015;Rocca di Castagnoli;Blend Red;DOCG Chianti Classico;14.00;2015;Aged in wood;14.10
Rocca di Castagnoli Chianti Gran Selezione Stielle 2013;Rocca di Castagnoli;Sangiovese;DOCG Chianti Classico Gran Selezione;14.00;2013;Aged in wood;30.50
Stella di Campalto Brunello Montalcino Riserva 2013;Stella di Campalto;Sangiovese Grosso;DOCG Brunello di Montalcino Riserva;14.50;2013;Aged in wood;119.05
Tenimenti d'Alessandro Cortona Borgo Syrah 2015;Tenimenti Luigi d'Alessandro;Syrah;DOC Cortona Syrah;13.00;2015;No oak/wood;12.79
Tenimenti d'Alessandro Cortona Syrah Il Bosco 2013;Tenimenti Luigi d'Alessandro;Syrah;DOC Cortona Syrah;14.00;2013;Aged in barrique;28.50
Tenuta di Frescobaldi Castiglioni 2019;Marchesi Frescobaldi;Blend Red;IGT Toscano o Toscana;13.50;2019;Aged in barrique;13.90
Tenuta di Trinoro Campo di Camagi 2017;Tenuta di Trinoro;Cabernet Franc;IGT Toscano o Toscana;15.50;2017;Aged in barrique;66.50
Tenuta di Trinoro Campo di Tenaglia 2019;Tenuta di Trinoro;Cabernet Franc;IGT Toscano o Toscana;16.00;2019;Aged in barrique;72.50
Villa Poggio Salvi Morellino di Scansano Vaio 2019;Villa Poggio Salvi;Sangiovese;DOCG Morellino di Scansano;14.00;2019;No oak/wood;9.15
I Fabbri Chianti Classico Lamole 2018;I Fabbri;Sangiovese Grosso;DOCG Chianti Classico;13.00;2018;Aged in big casks;16.99
Folonari Cabreo Il Borgo 2016;Tenute Folonari;Blend Red;IGT Toscano o Toscana;14.00;2016;Aged in wood;33.99
Ciacci Piccolomini Brunello di Montalcino 2016;Ciacci Piccolomini d'Aragona;Sangiovese Grosso;DOCG Brunello di Montalcino;15.00;2016;Aged in wood;40.81
Giodo Brunello di Montalcino 2016;Giodo;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;115.90
Castellare di Castellina Governo 2019;Castellare di Castellina;Blend Red;IGT Toscano o Toscana;13.00;2019;No oak/wood;8.50
Citille di Sopra Brunello di Montalcino 2014;Citille di Sopra;Sangiovese;DOCG Brunello di Montalcino;15.00;2014;Aged in big casks;31.72
Castello di Meleto Chianti Vigna Casi Riserva 2015;Castello di Meleto;Sangiovese;DOCG Chianti Classico Riserva;13.50;2015;Aged in barrique;23.07
Campo alla Sughera Arnione 2015;Campo alla Sughera;Blend Red;DOC Bolgheri Rosso Superiore;14.50;2015;Aged in barrique;36.47
Lamole Chianti Classico Etichetta Bianca 2017;Lamole di Lamole;Sangiovese;DOCG Chianti Classico;13.50;2017;Aged in wood;14.90
Ciacci Piccolomini Brunello Montalcino Pianrosso 2016;Ciacci Piccolomini d'Aragona;Sangiovese;DOCG Brunello di Montalcino;15.00;2016;Aged in wood;61.00
Avignonesi Nobile di Montepulciano Grandi Annate 2015;Avignonesi;Sangiovese;IGT Toscano o Toscana;14.00;2015;Aged in barrique;51.85
Lisini Brunello di Montalcino Riserva 2013;Lisini Azienda Agraria;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2013;Aged in wood;64.50
Montepeloso A Quo 2017;Montepeloso;Blend Red;IGT Costa Toscana;14.50;2017;Aged in wood;20.74
Brancaia Maremma Toscana 2017;Brancaia;Cabernet Sauvignon;DOC Maremma Toscana Cabernet Sauvignon;14.50;2017;Aged in wood;17.49
Roccapesta Morellino Scansano Riserva 2016;Azienda Agricola Roccapesta;Blend Red;DOCG Morellino di Scansano Riserva;14.00;2016;Aged in wood;22.00
Bibi Graetz Testamatta Rosso 2018;Bibi Graetz;Sangiovese;IGT Toscano o Toscana;13.50;2018;Aged in barrique;125.00
Castello di Volpaia Chianti Classico Riserva 2018;Castello di Volpaia;Sangiovese;DOCG Chianti Classico Riserva;14.50;2018;Aged in wood;29.50
Tua Rita Per Sempre Syrah 2018;Tua Rita;Syrah;IGT Toscano o Toscana;14.50;2018;Aged in barrique;164.70
Conti Costanti Brunello di Montalcino 2016;Conti Costanti;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;62.90
Cerbaiona Brunello di Montalcino 2012;Cerbaiona;Sangiovese;DOCG Brunello di Montalcino;15.00;2012;Aged in wood;142.74
Le Ragnaie Brunello Montalcino Le Ragnaie Vigna Vecchia 2016;Le Ragnaie;Sangiovese;DOCG Brunello di Montalcino;13.50;2016;Aged in wood;128.10
Fuligni Brunello di Montalcino Riserva 2015;Fuligni;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2015;Aged in wood;122.02
Le Ragnaie Brunello Montalcino Fornace 2016;Le Ragnaie;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;125.00
Le Ragnaie Brunello Montalcino Petroso 2016;Le Ragnaie;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;128.00
Il Marroneto Brunello Montalcino Madonna delle Grazie 2016;Il Marroneto;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in barrique;311.10
Ciacci Piccolomini Brunello di Montalcino Riserva Santa Caterina d'Oro 2015;Ciacci Piccolomini d'Aragona;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2015;Aged in wood;102.79
Ciacci Piccolomini Brunello Pianrosso Santa Caterina d'Oro Riserva 2015;Ciacci Piccolomini d'Aragona;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2015;Aged in wood;99.33
Castello di Ama Chianti Classico Vigneto Bellavista Gran Selezione 2016;Castello di Ama;Blend Red;DOCG Chianti Classico Gran Selezione;13.50;2016;Aged in barrique;180.00
Casa di Terra Bolgheri Superiore 2013;Casa di Terra;Cabernet Franc;DOC Bolgheri Rosso Superiore;15.00;2013;Aged in barrique;67.10
Castellare di Castellina 33 + 3 vendemmie 2013;Castellare di Castellina;Blend Red;IGT Toscano o Toscana;13.50;2013;Aged in barrique;66.50
Castello del Terriccio Tassinaia 2015;Castello del Terriccio;Blend Red;IGT Toscano o Toscana;14.00;2015;Aged in barrique;31.40
Castello di Ama Chianti Classico Vigneto La Casuccia 2015;Castello di Ama;Blend Red;DOCG Chianti Classico;13.50;2015;Aged in barrique;180.00
Castello di Fosini Pinot Nero 2018;Castello di Fosini;Pinot Nero;IGT Toscano o Toscana;13.50;2018;Aged in barrique;12.81
Castello di Romitorio Chianti Colli Senesi 2016;Castello Romitorio;Sangiovese;DOCG Chianti Colli Senesi;14.00;2016;Aged in barrique;10.89
Fattoria del Pino Brunello di Montalcino 2011;Fattoria del Pino;Sangiovese;DOCG Brunello di Montalcino;15.00;2011;Aged in wood;47.99
Fertuna Maremma Toscana Lodai 2016;Fertuna;Cabernet Sauvignon;DOC Maremma Toscana Rosso;13.50;2016;Aged in wood;12.90
Folonari Torcalvano Nobile Montepulciano 2016;Tenute Folonari;Sangiovese Grosso;DOCG Vino Nobile di Montepulciano;13.50;2016;Aged in barrique;13.90
Fontodi Case Via Syrah 2015;Fontodi;Syrah;IGT Colli della Toscana centrale;14.50;2015;Aged in barrique;33.99
Fuligni Brunello di Montalcino Riserva 2013;Fuligni;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2013;Aged in big casks;109.82
Grillesino Nacchero Ciliegiolo 2018;Grillesino;Ciliegiolo;IGT Toscano o Toscana;13.00;2018;No oak/wood;8.76
I Fabbri Terra di Lamole Chianti Classico 2015;I Fabbri;Blend Red;DOCG Chianti Classico;13.50;2015;Aged in wood;17.08
Istine Chianti Classico 2014;Istine;Sangiovese;DOCG Chianti Classico;13.00;2014;Aged in big casks;11.20
Le Macchiole Bolgheri Rosso 2017;Le Macchiole;Blend Red;  DOC Bolgheri Rosso;14.50;2017;Aged in barrique;23.50
Le Macchiole Messorio 2014;Le Macchiole;Merlot;IGT Toscano o Toscana;14.50;2014;Aged in barrique;160.00
Le Macchiole Messorio 2015;Le Macchiole;Merlot;IGT Toscano o Toscana;14.50;2015;Aged in barrique;178.00
Le Macchiole Paleo Rosso 2015;Le Macchiole;Cabernet Franc;IGT Toscano o Toscana;14.00;2015;Aged in barrique;86.53
Mulini di Segalari Soloterra 2014;Mulini di Segalari;Petit Verdot;IGT Costa Toscana;12.50;2014;No oak/wood;17.08
Piaggia Carmignano Riserva 2016;Piaggia;Blend Red;DOCG Carmignano Riserva;14.50;2016;Aged in barrique;32.90
Piaggia Pietranera 2018;Piaggia;Sangiovese;IGT Toscano o Toscana;14.50;2018;Aged in wood;14.01
Piaggia Poggio de' Colli 2014;Piaggia;Cabernet Franc;IGT Toscano o Toscana;14.50;2014;Aged in barrique;49.50
Piazzano Chianti Superiore Rio Camerata 2016;Fattoria di Piazzano;Blend Red;DOCG Chianti;14.00;2016;No oak/wood;10.27
Podere Giodo 2016;Giodo;Sangiovese;IGT Toscano o Toscana;14.00;2016;Aged in wood;41.00
Poggio Nibbiale Morellino di Scansano Tommaso Riserva 2015;Poggio Nibbiale;Sangiovese;DOCG Morellino di Scansano Riserva;14.00;2015;Aged in wood;19.29
Predella Brunello di Montalcino 2008;Predella;Sangiovese Grosso;DOCG Brunello di Montalcino;14.00;2008;Aged in wood;36.60
Provveditore Morellino di Scansano Sassato 2016;Provveditore Azienda Agricola;Sangiovese;DOCG Morellino di Scansano;13.50;2016;Aged in wood;9.88
Querce Bettina Brunello di Montalcino 2010;Querce Bettina;Sangiovese Grosso;DOCG Brunello di Montalcino;14.00;2010;Aged in wood;40.26
Roccapesta Morellino Scansano 2018;Azienda Agricola Roccapesta;Blend Red;DOCG Morellino di Scansano;14.00;2018;Aged in wood;15.30
San Giusto a Rentennano La Ricolma 2016;Fattoria San Giusto a Rentennano;Merlot;IGT Toscano o Toscana;14.50;2016;Aged in barrique;58.00
San Polo Brunello di Montalcino Riserva 2012;San Polo Azienda Agricola;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2012;Aged in wood;102.24
Scuderia Italia Chianti 2012;Scuderia-Italia;Blend Red;DOCG Chianti;12.50;2012;No oak/wood;10.89
Scuderia Italia Chianti Riserva 2010;Scuderia-Italia;Blend Red;DOCG Chianti Riserva;13.50;2010;Aged in barrique;20.90
Stomennano 2014;Stomennano;Blend Red;IGT Toscano o Toscana;13.50;2014;Aged in wood;6.10
Stomennano Chianti Classico Riserva 2013;Stomennano;Blend Red;DOCG Chianti Classico Riserva;13.50;2013;Aged in barrique;12.20
Tenute Silvio Nardi Brunello di Montalcino 2010;Tenute Silvio Nardi;Sangiovese;DOCG Brunello di Montalcino;14.50;2010;Aged in barrique;41.48
Valdifalco Morellino di Scansano 2019;Loacker Wine Estates;Sangiovese;DOCG Morellino di Scansano;13.50;2019;Aged in wood;11.37
Villa S. Andrea Chianti Classico 2017;Villa S. Andrea;Blend Red;DOCG Chianti Classico;13.50;2017;Aged in wood;10.80
Tolaini Chianti Classico Vallenuova 2018;Tolaini;Sangiovese;DOCG Chianti Classico;14.00;2018;No oak/wood;15.01
Rocca di Frassinello Maremma Toscana Rosso Poggio alla Guardia Vigne Alte 2018;Rocca di Frassinello;Blend Red;DOC Maremma Toscana Rosso;14.50;2018;No oak/wood;9.39
Castellare di Castellina Governo 2020;Castellare di Castellina;Blend Red;IGT Toscano o Toscana;13.00;2020;No oak/wood;8.92
Fanti Poggio Torto 2017;Fanti;Sangiovese;IGT Toscano o Toscana;14.50;2017;No oak/wood;7.32
Avignonesi Desiderio Merlot 2017;Avignonesi;Blend Red;IGT Toscano o Toscana;14.00;2017;Aged in wood;34.00
Fattoria dei Barbi Brunello di Montalcino Vigna del Fiore 2015;Fattoria dei Barbi;Sangiovese;DOCG Brunello di Montalcino;14.50;2015;Aged in wood;57.95
La Serena Rosso di Montalcino 2017;La Serena;Sangiovese;DOC Rosso di Montalcino;14.50;2017;Aged in wood;18.00
Banfi Brunello di Montalcino Vigna Marrucheto 2016;Banfi;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;55.83
Casanova di Neri Pietradonice 2018;Casanova di Neri;Cabernet Sauvignon;IGT Toscano o Toscana;15.00;2018;Aged in wood;73.16
Castello di Fonterutoli Chianti Classico 2019;Castello di Fonterutoli (Mazzei);Sangiovese;DOCG Chianti Classico ;13.50;2019;Aged in wood;14.41
Felsina Altromare 2017;Felsina;Sangiovese;IGT Toscano o Toscana;13.50;2017;Aged in wood;69.28
Braccesca Nobile di Montepulciano 2018;La Braccesca (Antinori);Blend Red;DOCG Vino Nobile di Montepulciano;14.50;2018;Aged in big casks;14.29
Brancaia Chianti Classico Riserva 2017;Brancaia;Blend Red;DOCG Chianti Classico Riserva;13.50;2017;Aged in barrique;24.50
Banfi Bolgheri Rosso Aska 2018;Banfi;Blend Red;DOC Bolgheri Rosso;14.00;2018;Aged in barrique;17.90
